22:10:44: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 48] Logger initialized for Command Worker
22:10:57: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:57: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: -0.60 degrees
22:10:57: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:57: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: -0.18 degrees
22:10:58: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:58: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: -1.61 degrees
22:10:58: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:58: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: 0.84 degrees
22:10:59: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:59: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: -0.60 degrees
22:10:59: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:59: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: -0.18 degrees
